Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,AssetStr,,
SGD_HKD,133.167,7.064,-0.338991,-0.308634,0.00001,0.000001278,0.03642888,20,1,0,SGD_HKD,FX,,
SGD_JPY,129.449,4.811,-0.106096,-0.338496,0.001,0.000009248,0.03637574,20,1,0,SGD_JPY,FX,,
CHF_ZAR,107.398,4.099,-0.633928,-0.135402,0.00001,0.000001483,0.05539174,20,1,0,CHF_ZAR,FX,,
EUR_CZK,118.593,3.472,-0.876872,0.107686,0.00001,0.000001114,0.05538139,20,1,0,EUR_CZK,FX,,
EUR_DKK,162.0465,3.039,-0.692531,-0.076948,0.00001,0.00000104,0.05540245,20,1,0,EUR_DKK,FX,,
EUR_NOK,2174.699,22.532,0.260623,-0.842866,0.00001,0.000001483,0.04990651,20,1,0,EUR_NOK,FX,,
EUR_SEK,1483.5905,420,0.041581,-0.623721,0.00001,0.000001114,0.04989767,20,1,0,EUR_SEK,FX,,
USD_DKK,1563.632,11.247,0.207985,-0.790343,0.00001,0.00000104,0.04991642,20,1,0,USD_DKK,FX,,
USD_NOK,23.87056,6.411,-2.599196,1.545468,0.00001,0.000000687,0.05057895,20,1,0,USD_NOK,FX,,
USD_SEK,14.69947,0.428,-1.691972,0.030763,0.00001,0.000000429,0.05537362,20,1,0,USD_SEK,FX,,
EUR_HUF,1493.3875,0.09655,-1.171157,0.12328,0.001,0.000003346,0.05547585,20,1,0,EUR_HUF,FX,,
EUR_PLN,1962.841,0.08388,-1.017555,0.24668,0.00001,0.000002564,0.05550301,20,1,0,EUR_PLN,FX,,
EUR_TRY,1356.891,0.06852,-6.387328,3.647703,0.00001,0.000001759,0.05540815,20,1,0,EUR_TRY,FX,,
EUR_ZAR,1208.898,0.05938,-2.691833,1.722773,0.00001,0.000000687,0.05537484,20,1,0,EUR_ZAR,FX,,
GBP_PLN,11707.7325,0.05217,-0.709894,-0.103887,0.00001,0.000002564,0.06233212,20,1,0,GBP_PLN,FX,,
GBP_ZAR,160807,0.42595,-2.591207,1.554724,0.00001,0.000000687,0.06218896,20,1,0,GBP_ZAR,FX,,
TRY_JPY,2326.982,7.2,0.566923,-0.987228,0.001,0.000009248,0.00879708,20,1,0,TRY_JPY,FX,,
USD_CNH,2060.2025,0.14665,-0.277941,-0.277941,0.00001,0.000001421,0.05002938,20,1,0,USD_CNH,FX,,
USD_CZK,82.227,0.10354,-0.692925,-0.692925,0.00001,0.000000429,0.04989062,20,1,0,USD_CZK,FX,,
USD_HUF,939.6115,0.00139,-0.222137,-0.610876,0.001,0.000003346,0.04998076,20,1,0,USD_HUF,FX,,
USD_INR,18.161705,0.0013,-0.916938,-0.222288,0.001,0.000014094,0.0500148,20,1,0,USD_INR,FX,,
USD_MXN,26.44607,0.00159,-1.804014,0.902007,0.00001,0.000000516,0.04995732,20,1,0,USD_MXN,FX,,
USD_PLN,18.04311,0.002,-0.083363,-0.500176,0.00001,0.000002564,0.05001756,20,1,0,USD_PLN,FX,,
USD_SAR,16.501495,0.001,-0.22228,-0.916904,0.00001,0.000002665,0.05001293,20,1,0,USD_SAR,FX,,
USD_THB,142.383315,0.00109,-0.583218,-0.555446,0.001,0.000032816,0.04999016,20,1,0,USD_THB,FX,,
USD_TRY,1955.55,0.002,-4.922803,2.565404,0.00001,0.000001759,0.04992138,20,1,0,USD_TRY,FX,,
USD_ZAR,28.2994,0.13,-1.594112,0.831711,0.00001,0.000000687,0.04990265,20,1,0,USD_ZAR,FX,,
ZAR_JPY,25.054885,0.002,0.102306,-0.156806,0.001,0.000009248,0.00344207,20,1,0,ZAR_JPY,FX,,
