Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
USD/SEK,14.69947,0.428,0.00,0.00,0.00001,0.000000429,0.055373620,20,1,0,USD_SEK
EUR/HUF,1493.3875,0.09655,0.00,0.00,0.001,0.000003346,0.055475850,20,1,0,EUR_HUF
EUR/PLN,1962.841,0.08388,0.00,0.00,0.00001,0.000002564,0.055503010,20,1,0,EUR_PLN
EUR/TRY,1356.891,0.06852,0.00,0.00,0.00001,0.000001759,0.055408150,20,1,0,EUR_TRY
EUR/ZAR,1208.898,0.05938,0.00,0.00,0.00001,0.000000687,0.055374840,20,1,0,EUR_ZAR
GBP/PLN,11707.7325,0.05217,0.00,0.00,0.00001,0.000002564,0.062332120,20,1,0,GBP_PLN
GBP/ZAR,160807,0.42595,0.00,0.00,0.00001,0.000000687,0.062188960,20,1,0,GBP_ZAR
TRY/JPY,2326.982,7.2,0.00,0.00,0.001,0.000009248,0.008797080,20,1,0,TRY_JPY
USD/CNH,2060.2025,0.14665,0.00,0.00,0.00001,0.000001421,0.050029380,20,1,0,USD_CNH
USD/CZK,82.227,0.10354,0.00,0.00,0.00001,0.000000429,0.049890620,20,1,0,USD_CZK
USD/HUF,939.6115,0.00139,0.00,0.00,0.001,0.000003346,0.049980760,20,1,0,USD_HUF
USD/INR,18.161705,0.0013,0.00,0.00,0.001,0.000014094,0.050014800,20,1,0,USD_INR
USD/MXN,26.44607,0.00159,0.00,0.00,0.00001,0.000000516,0.049957320,20,1,0,USD_MXN
USD/PLN,18.04311,0.002,0.00,0.00,0.00001,0.000002564,0.050017560,20,1,0,USD_PLN
USD/SAR,16.501495,0.001,0.00,0.00,0.00001,0.000002665,0.050012930,20,1,0,USD_SAR
USD/THB,142.383315,0.00109,0.00,0.00,0.001,0.000032816,0.049990160,20,1,0,USD_THB
USD/TRY,1955.55,0.002,0.00,0.00,0.00001,0.000001759,0.049921380,20,1,0,USD_TRY
USD/ZAR,28.2994,0.13,0.00,0.00,0.00001,0.000000687,0.049902650,20,1,0,USD_ZAR
ZAR/JPY,25.054885,0.002,0.00,0.00,0.001,0.000009248,0.003442070,20,1,0,ZAR_JPY
