Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,AssetStr
WTICO_USD,9.880765,0.113,-0.000612,-0.002447,0.001,0.001000000,5.505150000,10,1,0,WTICO_USD,Energy
NATGAS_USD,1.715105,0.012,-0.000251,0.000107,0.001,0.001000000,0.257950000,10,1,0,NATGAS_USD,Energy
CORN_USD,4.333185,0.01,-0.001072,0.000871,0.001,0.001000000,0.360600000,10,1,0,CORN_USD,Agricultural
SOYBN_USD,10.658175,0.017,-0.002384,0.001893,0.001,0.001000000,0.884900000,10,1,0,SOYBN_USD,Agricultural
SUGAR_USD,1.518505,0.00025,-0.000028,0.000022,0.00001,0.000010000,0.010882500,10,1,0,SUGAR_USD,Agricultural
WHEAT_USD,6.352265,0.01,-0.000593,0.000323,0.001,0.001000000,0.485000000,10,1,0,WHEAT_USD,Agricultural
XCU_USD,1.10079,0.0015,-0.000133,-0.000015,0.00001,0.000010000,0.266209000,10,1,0,XCU_USD,Industrial Metal
XPT_USD,16.18343,1.5,-0.066258,-0.003054,0.001,0.001000000,95.602500000,10,1,0,XPT_USD,Precious Metal
XPD_USD,1.797615,1.5,-0.151886,-0.174223,0.001,0.001000000,160.820800000,10,1,0,XPD_USD,Precious Metal
XAU_USD,1.62237,3.7,-0.167434,0.050230,0.001,0.001000000,75.345250000,20,1,0,XAU_USD,FX Major
XAG_USD,1.226055,0.05,-0.001716,0.000454,0.00001,0.000010000,1.816859000,10,1,0,XAG_USD,FX Major
XAU_AUD,9.677555,7.064,-0.125557,-0.010463,0.001,0.000688365,75.445543990,20,1,0,XAU_AUD,FX Cross
XAU_CAD,132.916,4.811,-0.154077,0.026896,0.001,0.000753537,75.057664410,20,1,0,XAU_CAD,FX Cross
XAU_CHF,1.92368,4.099,-0.062540,-0.095895,0.001,0.001009795,75.048545900,20,1,0,XAU_CHF,FX Cross
XAU_EUR,4.859975,3.472,-0.058478,-0.075186,0.001,0.001107590,75.186088930,20,1,0,XAU_EUR,FX Cross
XAU_GBP,1.70318,3.039,-0.104774,-0.023050,0.001,0.001248020,75.437442510,20,1,0,XAU_GBP,FX Cross
XAU_HKD,1.234645,22.532,-0.117222,-0.046052,0.001,0.000127806,75.357192380,20,1,0,XAU_HKD,FX Cross
XAU_JPY,18.152825,420,-0.068975,-0.052254,1,0.009247913,75.245647700,20,1,0,XAU_JPY,FX Cross
XAU_NZD,13.73468,11.247,-0.175528,-0.007941,0.001,0.000638235,75.226206510,20,1,0,XAU_NZD,FX Cross
XAU_SGD,0.84353,6.411,-0.114055,-0.049180,0.001,0.000728404,75.339199410,20,1,0,XAU_SGD,FX Cross
XAU_XAG,0.637455,0.428,-0.105655,-0.069082,0.001,0.017638190,73.146014880,20,1,0,XAU_XAG,FX Cross
XAG_AUD,5.03157,0.09655,-0.001211,-0.000278,0.00001,0.000006884,1.819277110,10,1,0,XAG_AUD,FX Cross
XAG_CAD,69.1085,0.08388,-0.001556,0.000173,0.00001,0.000007535,1.809924830,10,1,0,XAG_CAD,FX Cross
XAG_CHF,0.885365,0.06852,-0.000452,-0.001307,0.00001,0.000010098,1.809704130,10,1,0,XAG_CHF,FX Cross
XAG_EUR,0.641815,0.05938,-0.000403,-0.001058,0.00001,0.000011076,1.813020160,10,1,0,XAG_EUR,FX Cross
XAG_GBP,0.719995,0.05217,-0.000960,-0.000430,0.00001,0.000012480,1.819081500,10,1,0,XAG_GBP,FX Cross
XAG_HKD,5.683055,0.42595,-0.001110,-0.000707,0.00001,0.000001278,1.817146910,10,1,0,XAG_HKD,FX Cross
XAG_JPY,78.055,7.2,-0.000529,-0.000781,0.1,0.000924791,1.814440620,10,1,0,XAG_JPY,FX Cross
XAG_NZD,18.659,0.14665,-0.001814,-0.000247,0.00001,0.000006382,1.813988330,10,1,0,XAG_NZD,FX Cross
XAG_SGD,1.31424,0.10354,-0.001072,-0.000744,0.00001,0.000007284,1.816713220,10,1,0,XAG_SGD,FX Cross
AUD_USD,0.99321,0.00139,-0.372369,0.095479,0.00001,0.000010000,0.034372500,20,1,0,AUD_USD,FX Major
EUR_USD,7.111195,0.0013,-1.079084,0.647450,0.00001,0.000010000,0.036997170,30,1,0,EUR_USD,FX Major
GBP_USD,23.495715,0.00159,-0.779059,0.346249,0.00001,0.000010000,0.041549830,30,1,0,GBP_USD,FX Major
NZD_USD,6.77697,0.002,-0.335604,-0.124298,0.00001,0.000010000,0.031962250,20,1,0,NZD_USD,FX Major
USD_CAD,7.83957,0.001,-0.053960,-0.291937,0.00001,0.000007535,0.033206110,30,1,0,USD_CAD,FX Major
USD_CHF,301.5635,0.00109,0.553368,-1.106735,0.00001,0.000010098,0.033202060,30,1,0,USD_CHF,FX Major
USD_HKD,71.6685,0.002,0.194475,-0.777901,0.00001,0.000001278,0.050007920,20,1,0,USD_HKD,FX Major
USD_JPY,107.674,0.13,0.513219,-0.818376,0.001,0.000009248,0.033289870,30,1,0,USD_JPY,FX Major
USD_SGD,19.513335,0.002,0.215261,-0.798547,0.00001,0.000007284,0.049995990,20,1,0,USD_SGD,FX Major
AUD_CAD,8.975685,5.2,-0.312926,-0.010463,0.00001,0.000007535,0.034241090,20,1,0,AUD_CAD,FX Cross
AUD_CHF,3.936215,17.5,0.104614,-0.570623,0.00001,0.000010098,0.034237350,20,1,0,AUD_CHF,FX Cross
AUD_HKD,3.75159,2.5,-0.143241,-0.343779,0.00001,0.000001278,0.034377950,20,1,0,AUD_HKD,FX Cross
AUD_JPY,9.68185,1.2,0.076287,-0.371899,0.001,0.000009248,0.034329180,20,1,0,AUD_JPY,FX Cross
AUD_NZD,1.379465,4.5,-0.409914,-0.169685,0.00001,0.000006382,0.034318370,20,1,0,AUD_NZD,FX Cross
AUD_SGD,30.5805,7,-0.128887,-0.358020,0.00001,0.000007284,0.034369910,20,1,0,AUD_SGD,FX Cross
CAD_CHF,5.768075,19.5,0.302426,-0.773331,0.00001,0.000010098,0.025114950,30,1,0,CAD_CHF,FX Cross
CAD_HKD,14.70287,10,0.030472,-0.524327,0.00001,0.000001278,0.037827210,20,1,0,CAD_HKD,FX Cross
