Date,PnL
2015-11-01,43940.17
2015-11-02,77515.57
2015-11-03,113208.77
2015-11-04,101678.32
2015-11-05,101292.88
2015-11-06,101111.34
2015-11-08,101623.84
2015-11-09,100791.12
2015-11-10,106805.39
2015-11-11,111109.81
2015-11-12,105530.65
2015-11-13,105184.77
2015-11-15,105134.18
2015-11-16,104459.19
2015-11-17,104640.40
2015-11-18,104621.56
2015-11-19,103753.91
2015-11-20,103880.68
2015-11-22,103575.40
2015-11-23,103598.33
2015-11-24,103921.53
2015-11-25,103068.25
2015-11-26,103879.41
2015-11-27,104729.22
2015-11-29,106117.02
2015-11-30,106929.83
2015-12-01,104190.39
2015-12-02,104099.35
2015-12-03,103746.51
2015-12-04,103699.98
2015-12-06,102620.70
2015-12-07,103027.17
2015-12-08,103093.02
2015-12-09,105108.96
2015-12-10,104965.34
2015-12-11,109659.45
2015-12-13,108083.24
2015-12-14,109481.00
2015-12-15,114247.57
2015-12-16,112252.82
2015-12-17,111738.37
2015-12-18,111801.27
2015-12-20,110996.23
2015-12-21,110501.98
2015-12-22,110552.62
2015-12-23,110192.79
2015-12-24,110332.09
2015-12-27,109027.99
2015-12-28,109479.93
2015-12-29,108914.34
2015-12-30,108760.57
2015-12-31,108500.06
2016-01-01,108524.25
2016-01-03,108402.40
2016-01-04,108821.51
2016-01-05,108526.32
2016-01-06,108489.32
2016-01-07,108109.37
2016-01-08,107800.54
2016-01-10,107553.70
2016-01-11,107233.39
2016-01-12,107301.20
2016-01-13,107970.33
2016-01-14,108355.75
2016-01-15,114304.42
2016-01-17,115071.17
2016-01-18,115032.20
2016-01-19,116264.28
2016-01-20,107873.52
2016-01-21,107681.03
2016-01-22,106927.24
2016-01-24,106365.57
2016-01-25,106555.99
2016-01-26,106428.00
2016-01-27,106549.32
2016-01-28,106253.29
2016-01-29,106227.21
2016-01-31,106358.11
2016-02-01,106662.87
2016-02-02,106532.01
2016-02-03,107454.14
2016-02-04,103962.11
2016-02-05,103935.84
2016-02-07,103161.04
2016-02-08,103473.89
2016-02-09,103325.01
2016-02-10,103011.40
2016-02-11,102707.84
2016-02-12,102700.44
2016-02-14,103226.99
2016-02-15,102852.94
2016-02-16,103679.12
2016-02-17,105219.98
2016-02-18,105910.50
2016-02-19,104995.81
2016-02-21,110048.31
2016-02-22,109869.32
2016-02-23,105814.74
2016-02-24,105556.61
2016-02-25,105587.14
2016-02-26,105539.58
2016-02-28,105719.58
2016-02-29,105948.19
2016-03-01,105430.89
2016-03-02,105716.64
2016-03-03,106122.46
2016-03-04,106544.60
2016-03-06,107819.15
2016-03-07,106814.13
2016-03-08,106793.55
2016-03-09,106796.15
2016-03-10,106962.56
2016-03-11,107152.24
2016-03-13,106489.20
2016-03-14,106728.97
2016-03-15,106635.94
2016-03-16,106616.66
2016-03-17,106664.45
2016-03-18,106604.75
2016-03-20,106528.78
2016-03-21,106413.01
2016-03-22,106461.58
2016-03-23,106597.19
2016-03-24,106349.62
2016-03-25,106357.01
2016-03-27,105899.01
2016-03-28,105909.09
2016-03-29,105444.62
2016-03-30,105411.20
2016-03-31,105472.49
2016-04-01,105422.11
2016-04-03,105448.11
2016-04-04,105494.28
2016-04-05,105725.27
2016-04-06,105663.07
2016-04-07,105531.59
2016-04-08,105491.01
2016-04-10,105447.46
2016-04-11,105413.75
2016-04-12,105499.50
2016-04-13,105395.16
2016-04-14,105399.34
2016-04-15,105642.89
2016-04-17,105495.98
2016-04-18,105597.69
2016-04-19,106402.35
2016-04-20,107620.94
2016-04-21,109752.37
2016-04-22,109356.97
2016-04-24,111926.18
2016-04-25,113902.91
2016-04-26,114041.21
2016-04-27,110829.20
2016-04-28,110691.41
2016-04-29,110855.90
2016-05-01,110848.89
2016-05-02,110648.60
2016-05-03,110494.36
2016-05-04,110342.26
2016-05-05,110334.06
2016-05-06,110652.66
2016-05-08,110785.62
2016-05-09,111125.37
2016-05-10,110284.40
2016-05-11,110275.77
2016-05-12,110055.40
2016-05-13,110106.72
2016-05-15,110160.36
2016-05-16,109977.41
2016-05-17,109979.77
2016-05-18,109830.35
2016-05-19,110162.68
2016-05-20,110275.88
2016-05-22,110385.23
2016-05-23,109993.78
2016-05-24,110040.90
2016-05-25,110140.12
2016-05-26,110514.57
2016-05-27,112736.81
2016-05-29,117460.56
2016-05-30,119475.38
2016-05-31,121008.05
2016-06-01,121487.80
2016-06-02,122234.00
2016-06-03,130525.91
2016-06-05,130789.52
2016-06-06,134030.63
2016-06-07,131313.46
2016-06-08,131287.69
2016-06-09,131117.25
2016-06-10,131101.97
2016-06-12,127040.51
2016-06-13,127858.61
2016-06-14,127245.52
2016-06-15,127573.42
2016-06-16,131728.33
2016-06-17,130292.80
2016-06-19,131039.80
2016-06-20,128814.40
2016-06-21,129793.67
2016-06-22,132578.73
2016-06-23,130201.02
2016-06-24,128095.89
2016-06-26,127463.15
2016-06-27,127812.26
2016-06-28,127506.71
2016-06-29,127086.15
2016-06-30,126680.95
2016-07-01,126863.26
2016-07-03,126411.41
2016-07-04,127351.25
2016-07-05,126841.77
2016-07-06,126824.40
2016-07-07,126045.74
2016-07-08,125630.34
2016-07-10,125604.84
2016-07-11,125574.33
2016-07-12,125789.21
2016-07-13,125451.46
2016-07-14,125326.00
2016-07-15,125375.45
2016-07-17,125875.14
2016-07-18,125705.13
2016-07-19,125606.95
2016-07-20,125554.85
2016-07-21,125626.02
2016-07-22,125771.92
2016-07-24,125673.09
2016-07-25,125831.34
2016-07-26,125954.48
2016-07-27,126249.52
2016-07-28,126258.28
2016-07-29,126251.21
2016-07-31,126401.45
2016-08-01,126894.78
2016-08-02,134694.16
2016-08-03,128432.87
2016-08-04,127659.75
2016-08-05,127615.14
2016-08-07,127294.18
2016-08-08,127337.32
2016-08-09,127087.28
2016-08-10,127533.71
2016-08-11,127236.39
2016-08-12,127353.75
2016-08-14,127978.92
2016-08-15,128149.65
2016-08-16,126785.06
2016-08-17,126649.93
2016-08-18,126602.77
2016-08-19,126512.48
2016-08-21,126419.20
2016-08-22,126582.73
2016-08-23,126493.90
2016-08-24,126526.95
2016-08-25,126538.11
2016-08-26,126493.78
2016-08-28,126421.17
2016-08-29,126551.92
2016-08-30,126425.59
2016-08-31,126379.73
2016-09-01,126371.24
2016-09-02,126283.37
2016-09-04,126695.43
2016-09-05,126748.52
2016-09-06,127088.89
2016-09-07,127518.18
2016-09-08,128693.54
2016-09-09,128157.07
2016-09-11,128301.43
2016-09-12,128213.00
2016-09-13,128121.55
2016-09-14,128124.41
2016-09-15,128162.11
2016-09-16,128093.07
2016-09-18,128088.51
2016-09-19,128074.72
2016-09-20,128054.28
2016-09-21,128275.42
2016-09-22,128327.82
2016-09-23,128039.66
2016-09-25,128029.47
2016-09-26,128247.66
2016-09-27,128133.12
2016-09-28,128187.66
2016-09-29,128230.66
2016-09-30,128209.38
2016-10-02,128406.91
2016-10-03,128510.16
2016-10-04,128283.86
2016-10-05,128096.33
2016-10-06,128124.88
2016-10-07,128229.16
2016-10-09,128234.83
2016-10-10,128396.68
2016-10-11,130680.91
2016-10-12,130206.23
2016-10-13,130403.22
2016-10-14,130434.02
2016-10-16,130433.38
2016-10-17,130418.89
2016-10-18,130352.93
2016-10-19,130498.06
2016-10-20,130473.76
2016-10-21,130353.93
2016-10-23,130478.05
2016-10-24,130521.44
2016-10-25,131018.44
2016-10-26,132106.63
2016-10-27,133278.57
2016-10-28,133924.71
2016-10-30,135398.63
2016-10-31,136073.71
2016-11-01,141554.74
2016-11-02,142951.19
2016-11-03,135422.05
2016-11-04,135497.78
2016-11-06,134931.37
2016-11-07,135118.06
2016-11-08,135097.05
2016-11-09,135257.43
2016-11-10,135230.64
2016-11-11,135239.52
2016-11-13,135190.62
2016-11-14,135077.02
2016-11-15,134886.66
2016-11-16,135956.67
2016-11-17,135727.26
2016-11-18,135888.68
2016-11-20,135631.74
2016-11-21,135573.11
2016-11-22,135861.74
2016-11-23,135336.85
2016-11-24,135417.03
2016-11-25,135416.97
2016-11-27,135845.61
2016-11-28,135705.65
2016-11-29,135407.65
2016-11-30,135640.17
2016-12-01,136052.50
2016-12-02,137115.92
2016-12-04,136428.46
2016-12-05,135491.36
2016-12-06,135299.72
2016-12-07,135678.70
2016-12-08,135733.58
2016-12-09,135821.51
2016-12-11,135710.15
2016-12-12,136557.18
2016-12-13,136782.80
2016-12-14,136400.59
2016-12-15,136349.30
2016-12-16,136304.00
2016-12-18,136425.05
2016-12-19,136475.14
2016-12-20,136731.37
2016-12-21,138756.33
2016-12-22,141154.54
2016-12-23,144226.16
2016-12-26,144306.80
2016-12-27,148302.10
2016-12-28,154286.23
2016-12-29,153175.40
2016-12-30,150523.99
2017-01-01,150064.59
2017-01-02,150204.37
2017-01-03,150392.50
2017-01-04,154144.42
2017-01-05,145185.67
2017-01-06,147864.48
2017-01-08,147282.71
2017-01-09,147721.64
2017-01-10,147314.12
2017-01-11,147142.45
2017-01-12,145786.13
2017-01-13,145836.99
2017-01-15,145898.55
2017-01-16,145925.09
2017-01-17,148626.76
2017-01-18,147072.28
2017-01-19,147145.92
2017-01-20,147091.35
2017-01-22,147727.15
2017-01-23,147864.06
2017-01-24,147699.20
2017-01-25,147702.82
2017-01-26,147439.58
2017-01-27,147505.08
2017-01-29,147349.43
2017-01-30,147632.04
2017-01-31,149902.60
2017-02-01,151328.88
2017-02-02,153450.21
2017-02-03,154134.73
2017-02-05,153912.77
2017-02-06,155464.60
2017-02-07,159437.92
2017-02-08,159932.44
2017-02-09,146555.41
2017-02-10,146278.64
2017-02-12,145827.28
2017-02-13,145788.33
2017-02-14,145860.48
2017-02-15,145931.96
2017-02-16,146556.09
2017-02-17,147899.88
2017-02-19,147705.31
2017-02-20,148433.10
2017-02-21,154593.63
2017-02-22,155603.89
2017-02-23,162329.05
2017-02-24,163361.93
2017-02-26,161450.97
2017-02-27,163585.40
2017-02-28,164051.35
2017-03-01,169782.61
2017-03-02,177556.96
2017-03-03,179099.52
2017-03-05,178750.99
2017-03-06,180956.16
2017-03-07,169771.64
2017-03-08,171296.00
2017-03-09,170073.53
2017-03-10,170988.99
2017-03-12,170638.42
2017-03-13,171051.67
2017-03-14,171177.20
2017-03-15,172293.08
2017-03-16,170319.19
2017-03-17,170823.23
2017-03-19,173237.06
2017-03-20,173064.28
2017-03-21,170886.18
2017-03-22,170333.80
2017-03-23,170102.13
2017-03-24,170517.99
2017-03-26,170935.61
2017-03-27,169232.68
2017-03-28,169225.99
2017-03-29,168491.99
2017-03-30,168442.15
2017-03-31,168536.78
2017-04-02,168941.42
2017-04-03,170149.74
2017-04-04,169858.11
2017-04-05,169364.93
2017-04-06,169147.12
2017-04-07,169139.15
2017-04-09,169794.33
2017-04-10,169801.75
2017-04-11,170702.21
2017-04-12,169903.83
2017-04-13,170476.55
2017-04-14,170581.02
2017-04-16,170484.38
2017-04-17,170160.55
2017-04-18,170244.46
2017-04-19,170246.68
2017-04-20,171374.11
2017-04-21,171471.29
2017-04-23,171678.01
2017-04-24,172644.24
2017-04-25,173993.10
2017-04-26,176136.79
2017-04-27,180719.17
2017-04-28,176846.07
2017-04-30,183262.58
2017-05-01,189332.45
2017-05-02,196215.20
2017-05-03,204791.13
2017-05-04,207719.84
2017-05-05,209166.40
2017-05-07,214226.28
2017-05-08,228647.79
2017-05-09,243370.89
2017-05-10,250421.17
2017-05-11,263020.76
2017-05-12,258203.31
2017-05-14,258003.30
2017-05-15,258286.60
2017-05-16,258410.17
2017-05-17,258218.05
2017-05-18,259651.69
2017-05-19,260154.07
2017-05-21,262854.06
2017-05-22,262843.75
2017-05-23,269771.73
2017-05-24,275470.42
2017-05-25,273819.99
2017-05-26,272678.49
2017-05-28,273047.94
2017-05-29,271973.45
2017-05-30,272204.51
2017-05-31,271000.85
2017-06-01,271308.02
2017-06-02,272207.87
2017-06-04,274358.10
2017-06-05,278733.05
2017-06-06,284304.20
2017-06-07,278091.76
2017-06-08,277401.78
2017-06-09,277593.00
2017-06-11,279074.91
2017-06-12,272304.57
2017-06-13,271673.25
2017-06-14,272446.20
2017-06-15,271951.03
2017-06-16,271116.47
2017-06-18,271279.88
2017-06-19,272028.67
2017-06-20,275116.86
2017-06-21,271980.88
2017-06-22,272173.57
2017-06-23,272317.53
2017-06-25,269562.88
2017-06-26,270553.58
2017-06-27,267796.34
2017-06-28,268839.16
2017-06-29,268718.67
2017-06-30,268213.52
2017-07-02,268417.46
2017-07-03,267527.15
2017-07-04,267596.04
2017-07-05,266995.50
2017-07-06,267099.93
2017-07-07,266703.48
2017-07-09,266801.43
2017-07-10,268912.19
2017-07-11,268969.67
2017-07-12,267301.43
2017-07-13,266944.20
2017-07-14,268049.21
2017-07-16,270678.12
2017-07-17,266527.55
2017-07-18,266778.25
2017-07-19,266125.84
2017-07-20,269319.30
2017-07-21,266855.28
2017-07-23,268324.25
2017-07-24,268863.67
2017-07-25,264783.08
2017-07-26,265035.18
2017-07-27,264642.47
2017-07-28,265808.58
2017-07-30,265190.45
2017-07-31,267536.75
2017-08-01,264545.30
2017-08-02,265155.57
2017-08-03,264313.72
2017-08-04,264660.14
2017-08-06,269540.88
2017-08-07,271983.15
2017-08-08,273988.46
2017-08-09,268866.55
2017-08-10,268692.02
2017-08-11,270103.44
2017-08-13,279467.44
2017-08-14,283559.87
2017-08-15,276914.66
2017-08-16,278054.77
2017-08-17,277738.65
2017-08-18,278216.19
2017-08-20,278311.78
2017-08-21,279415.31
2017-08-22,277311.99
2017-08-23,277060.22
2017-08-24,280925.74
2017-08-25,284196.93
2017-08-27,280954.03
2017-08-28,279204.30
2017-08-29,281136.33
2017-08-30,281013.75
2017-08-31,284805.66
2017-09-01,288160.14
2017-09-03,278465.16
2017-09-04,277615.29
2017-09-05,275938.79
2017-09-06,276849.20
2017-09-07,277257.80
2017-09-08,270277.65
