Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
BITCOIN,Short,BTCUSD,555201,6,2015-12-04 04:00,2015-12-07 00:00,358.35,386.85,-171,0.00,Reverse
BITCOIN,Short,BTCUSD,555301,6,2015-12-04 05:00,2015-12-07 00:00,358.40,386.85,-171,0.00,Reverse
BITCOIN,Short,BTCUSD,555601,6,2015-12-04 08:00,2015-12-07 00:00,359.42,386.85,-165,0.00,Reverse
BITCOIN,Short,BTCUSD,555701,6,2015-12-04 09:00,2015-12-07 00:00,360.26,386.85,-160,0.00,Reverse
BITCOIN,Short,BTCUSD,556201,6,2015-12-04 14:00,2015-12-07 00:00,361.20,386.85,-154,0.00,Reverse
BITCOIN,Long,BTCUSD,556901,5,2015-12-07 00:00,2015-12-17 03:00,386.85,452.35,+328,0.00,Reverse
BITCOIN,Long,BTCUSD,557001,5,2015-12-07 01:00,2015-12-17 03:00,387.31,452.35,+325,0.00,Reverse
BITCOIN,Long,BTCUSD,557201,5,2015-12-07 03:00,2015-12-17 03:00,388.48,452.35,+319,0.00,Reverse
BITCOIN,Long,BTCUSD,557301,5,2015-12-07 04:00,2015-12-17 03:00,387.00,452.35,+327,0.00,Reverse
BITCOIN,Long,BTCUSD,557401,5,2015-12-07 05:00,2015-12-17 03:00,387.18,452.35,+326,0.00,Reverse
BITCOIN,Long,BTCUSD,557601,5,2015-12-07 07:00,2015-12-17 03:00,389.19,452.35,+316,0.00,Reverse
BITCOIN,Long,BTCUSD,557801,5,2015-12-07 09:00,2015-12-17 03:00,389.04,452.35,+317,0.00,Reverse
BITCOIN,Long,BTCUSD,558301,5,2015-12-07 14:00,2015-12-17 03:00,395.09,452.35,+286,0.00,Reverse
BITCOIN,Long,BTCUSD,558401,5,2015-12-07 15:00,2015-12-17 03:00,394.96,452.35,+287,0.00,Reverse
BITCOIN,Long,BTCUSD,558601,5,2015-12-07 17:00,2015-12-17 03:00,395.97,452.35,+282,0.00,Reverse
BITCOIN,Long,BTCUSD,558701,5,2015-12-07 18:00,2015-12-17 03:00,394.92,452.35,+287,0.00,Reverse
BITCOIN,Long,BTCUSD,559001,5,2015-12-07 21:00,2015-12-17 03:00,391.64,452.35,+304,0.00,Reverse
BITCOIN,Long,BTCUSD,559401,5,2015-12-08 01:00,2015-12-17 03:00,393.57,452.35,+294,0.00,Reverse
BITCOIN,Long,BTCUSD,559801,5,2015-12-08 05:00,2015-12-17 03:00,394.07,452.35,+291,0.00,Reverse
BITCOIN,Long,BTCUSD,560701,5,2015-12-08 14:00,2015-12-17 03:00,395.86,452.35,+282,0.00,Reverse
BITCOIN,Long,BTCUSD,560801,5,2015-12-08 15:00,2015-12-17 03:00,395.01,452.35,+287,0.00,Reverse
BITCOIN,Long,BTCUSD,561501,5,2015-12-08 22:00,2015-12-17 03:00,395.80,452.35,+283,0.00,Reverse
BITCOIN,Long,BTCUSD,561601,5,2015-12-08 23:00,2015-12-17 03:00,397.48,452.35,+274,0.00,Reverse
BITCOIN,Long,BTCUSD,561801,5,2015-12-09 01:00,2015-12-17 03:00,415.87,452.35,+182,0.00,Reverse
BITCOIN,Long,BTCUSD,561901,5,2015-12-09 02:00,2015-12-17 03:00,414.24,452.35,+191,0.00,Reverse
BITCOIN,Long,BTCUSD,562201,5,2015-12-09 05:00,2015-12-17 03:00,417.20,452.35,+176,0.00,Reverse
BITCOIN,Long,BTCUSD,562401,5,2015-12-09 07:00,2015-12-17 03:00,417.85,452.35,+173,0.00,Reverse
BITCOIN,Long,BTCUSD,562501,5,2015-12-09 08:00,2015-12-17 03:00,417.19,452.35,+176,0.00,Reverse
BITCOIN,Long,BTCUSD,563001,5,2015-12-09 13:00,2015-12-17 03:00,420.58,452.35,+159,0.00,Reverse
BITCOIN,Long,BTCUSD,563301,5,2015-12-09 16:00,2015-12-17 03:00,414.11,452.35,+191,0.00,Reverse
BITCOIN,Long,BTCUSD,563401,5,2015-12-09 17:00,2015-12-17 03:00,409.89,452.35,+212,0.00,Reverse
BITCOIN,Long,BTCUSD,564101,5,2015-12-10 00:00,2015-12-17 03:00,416.60,452.35,+179,0.00,Reverse
BITCOIN,Long,BTCUSD,564201,5,2015-12-10 01:00,2015-12-17 03:00,415.79,452.35,+183,0.00,Reverse
BITCOIN,Long,BTCUSD,564301,5,2015-12-10 02:00,2015-12-17 03:00,414.71,452.35,+188,0.00,Reverse
BITCOIN,Long,BTCUSD,565601,5,2015-12-10 15:00,2015-12-17 03:00,417.89,452.35,+172,0.00,Reverse
BITCOIN,Long,BTCUSD,565701,5,2015-12-10 16:00,2015-12-17 03:00,413.39,452.35,+195,0.00,Reverse
BITCOIN,Long,BTCUSD,566501,5,2015-12-11 00:00,2015-12-17 03:00,415.32,452.35,+185,0.00,Reverse
BITCOIN,Long,BTCUSD,567101,5,2015-12-11 06:00,2015-12-17 03:00,422.30,452.35,+150,0.00,Reverse
BITCOIN,Long,BTCUSD,567301,5,2015-12-11 08:00,2015-12-17 03:00,422.46,452.35,+149,0.00,Reverse
BITCOIN,Long,BTCUSD,567501,5,2015-12-11 10:00,2015-12-17 03:00,433.93,452.35,+92.10,0.00,Reverse
BITCOIN,Long,BTCUSD,567701,5,2015-12-11 12:00,2015-12-17 03:00,435.11,452.35,+86.20,0.00,Reverse
BITCOIN,Long,BTCUSD,568001,5,2015-12-11 15:00,2015-12-17 03:00,433.26,452.35,+95.49,0.00,Reverse
BITCOIN,Long,BTCUSD,568501,5,2015-12-13 23:00,2015-12-17 03:00,434.44,452.35,+89.55,0.00,Reverse
BITCOIN,Long,BTCUSD,568601,5,2015-12-14 00:00,2015-12-17 03:00,432.97,452.35,+96.92,0.00,Reverse
BITCOIN,Long,BTCUSD,569401,5,2015-12-14 08:00,2015-12-17 03:00,438.85,452.35,+67.51,0.00,Reverse
BITCOIN,Long,BTCUSD,569801,5,2015-12-14 12:00,2015-12-17 03:00,443.04,452.35,+46.56,0.00,Reverse
BITCOIN,Long,BTCUSD,570001,4,2015-12-14 14:00,2015-12-17 03:00,444.72,452.35,+30.55,0.00,Reverse
BITCOIN,Long,BTCUSD,570201,5,2015-12-14 16:00,2015-12-17 03:00,443.14,452.35,+46.05,0.00,Reverse
BITCOIN,Long,BTCUSD,570401,4,2015-12-14 18:00,2015-12-17 03:00,445.45,452.35,+27.64,0.00,Reverse
BITCOIN,Long,BTCUSD,570501,4,2015-12-14 19:00,2015-12-17 03:00,444.49,452.35,+31.48,0.00,Reverse
BITCOIN,Long,BTCUSD,570601,5,2015-12-14 20:00,2015-12-17 03:00,443.89,452.35,+42.32,0.00,Reverse
BITCOIN,Long,BTCUSD,570801,5,2015-12-14 22:00,2015-12-17 03:00,439.35,452.35,+65.02,0.00,Reverse
BITCOIN,Long,BTCUSD,571201,4,2015-12-15 02:00,2015-12-17 03:00,448.93,452.35,+13.69,0.00,Reverse
BITCOIN,Long,BTCUSD,571501,4,2015-12-15 05:00,2015-12-17 03:00,451.74,452.35,+2.47,0.00,Reverse
